Title,Raspberry Fan Speed Controller,,,,,,,,
Revision,0,,,,,,,,
Date,2019-03-09,,,,,,,,
Generated,Wed 13 Mar 2019 08:39:04 PM CET,,,,,,,,
Company,,,,,,,,,
Comment 1,,,,,,,,,
Comment 2,,,,,,,,,
Comment 3,,,,,,,,,
Comment 4,,,,,,,,,
Total Parts,18,,,,,,,,
Total Unique Parts,9,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref,Qty,Value,Footprint,Mouser ref no,price EUR,,,,
C2 C1 ,2,4u7 20V ESR 1R,Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T,80-T494B475K020,0.681,1.362,,,
H1 H3 H2 H4 ,4,M4,MountingHole:MountingHole_4.3mm_M4,,,,,,
J1 ,1,Conn_01x02,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,538-99-99-0986,0.45,0.45,JST B2B-XH-A (LF)(SN) 2nd source: Molex 99-99-0986.,,
JP1 ,1,Write Enable,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,,,,,
MK1 MK3 MK2 MK4 ,4,M2.5,MountingHole:MountingHole_2.7mm_M2.5,,,,,,
P1 ,1,Conn_02x20_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,485-2223,2.18,2.18,,,
R1 R2 R3 ,3,3k9,Resistor_SMD:R_0805_2012Metric,667-ERJ-6ENF3901V,0.087,0.261,,,
U1 ,1,LTC1695CS5,Package_TO_SOT_SMD:TSOT-23-5,LTC1695CS5#TRMPBF,3.34,3.34,,,
U2 ,1,CAT24C32,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,698-CAT24C32WI-GT3,0.41,0.41,,,
FAN,1,FAN,"FAN,40x40mm, 5V DC, 2 wire, 1W max. ",MF40200V3-1000U-A99,5.93,5.93,Sunon MF40200V3-1000U-A99,,
,,,,,,13.933,,,
,,,,,,,,,
,,,,,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,,,
Generated Wed 13 Mar 2019 08:39:04 PM CET,,,,,,,,,
,,,,,,,,,
,,,Connector J1 can be omitted if fan wires are soldered directly to the pcb.,,,,,,
,,,,,,,,,
,,,Comparison of fans:,,,,,,
,,,Model,Airflow,Power,Noise,Revolutions,Pressure,
,,,Sunon MF40200V3-1000U-A99,6.3CFM, 0.38W, 16.5dBA, 5000RPM, 0.11inch H2O,"quietest, smallest airflow"
,,,Sunon MF40100V2-1000U-A99,7CFM, 0.47W, 20.6dBA, 5800RPM, 0.12inch H2O,
,,,Sunon MF40200V2-1000U-A99,7.7CFM, 0.54W, 21dBA, 6000RPM, 0.17inch H2O,
,,,Sunon MF40200V1-1000U-A99,8.9CFM, 0.75W, 25.5dBA, 7000RPM, 0.22inch H2O,"loudest, biggest airflow"
